"country","weight"
"Brazil",3.6252430668147
"Cameroon",3.57737939524602
"Canada",3.53530185983542
"Chile",3.60368148351989
"China",3.61052356943515
"Colombia",3.62762055897585
"Denmark",3.61096405784417
"France",3.63254467387788
"Germany",3.60650872490643
"Guinea",3.46536895319971
"Hungary",3.32164764405405
"India",3.59915230281466
"Iran",3.5647724496158
"Ireland",3.4117340934291
"Italy",3.62462693646702
"Kenya",3.57732354581156
"Maldives",3.60586649147657
"Mexico",3.63071810437093
"Netherlands",3.48259897147302
"Nigeria",3.62048807819605
"Pakistan",3.3809626897891
"Peru",3.62236814641966
"Portugal",3.60433054359413
"Senegal",3.57479493473212
"Spain",3.63171960234864
"Switzerland",3.62074099361259
"UK",3.63325658366576
"US",3.59776154447403
