Country,Brazil,Cameroon,Canada,Chile,China,Colombia,Denmark,France,Germany,Guinea,Hungary,India,Iran,Ireland,Italy,Kenya,Maldives,Mexico,Netherlands,Nigeria,Pakistan,Peru,Portugal,Senegal,Spain,Switzerland,UK,USA
Fever,Y,y,Y,Y,Y,Y,Y,y,Y,,Y,Y,,Y,Y,y,,Y,Y,y,Y,Y,Y,Y,y,Y,y,y
Cough,Y,y,Y,y,Y,Y,Y,y,Y,,Y,Y,,Y,Y,y,,Y,Y,y,Y,Y,Y,Y,y,Y,y,y
Shortness of breath/ dyspnea,y,y,,y,y,y,y,y,y,,y,y,,y,y,y,,y,,y,y,Y,y,,y,y,,y
Aches/pains (muscle(myagia)/ stomach/chest/abdominal/joint),y,y,,y,,y,y,y,y,,y,,,,y,,,y,y,y,y,,,y,,y,,y
Loss of taste/smell/anosmia/ageusia,y,y,Y,y,,y,y,,y,,y,y,,y,y,,,y,y,y,,Y,,y,y,y,y,
Sore throat/Odynophagia,y,y,,y,,,,,y,,y,y,,,,y,,y,y,y,y,Y,y,y,y,y,,y
Fatigue/tiredness/malaise,,y,,y,,,Y,,,,y,y,,,,,,,,y,y,Y,y,y,y,y,,
Headache,y,y,,y,,y,y,,,,y,,,,,,,y,y,y,y,Y,y,y,y,y,,y
Diarrhoea,y,y,,y,,y,,,,,y,,,,,,,y,y,y,y,Y,y,y,y,y,,y
Nausea/vomiting,y,y,,,,y,,,,,y,,,,,,,y,y,y,y,Y,y,,y,y,,y
Runny nose/ rhinitis/ rhinorrhea/cold/sneezing,,y,,,,,y,,y,,,,,,,y,,y,y,y,y,,,y,,y,,y
Rough skin/ COVID toe,,,Y,,,,,,,,,,,,y,,,,,y,,,,,,,,
Palpitation (rapid heartbeat),y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shivering/chills,y,,,,,,,,,,,,,,,y,,,,y,,Y,,,y,,,y
Irritated eyes/ conjunctivitis/ pain,,,,,,,y,,,,,,,,,,,y,,y,,,,,,,,y
Loss of interest/ apathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eating disorder/ anorexia/ loss of apetite,,,,,,,,,,,,,,,,,,,,y,,,,,,y,,
Coloured sputum,,,,,,,y,,,,,,,,,,,,,,,,,,,,,
Loss of balance/vertigo/altered consciousness,,,,,,,,,,,,,,,,,,,,y,,,,,,,,
Pneumonia,,,,,,,,,y,,,,,,,,,,,,,,,,,,,
Weakness/ debility,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad taste in the mouth/ dysgeusia,,,,y,,,,y,,,,,,,y,,,,,,,,,,,y,,
Muscle spasm (sudden muscular contraction),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheezing (high-pitched sound while breathing),,,,,,,,,,,,,,,,,,,,,y,,,,,,,
Sickness last two months,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dysosmia,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,
Hemoptysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distress,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convolutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plegia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seizures,,,,,,,,,,,,,,,,,,,,y,,,,,,,,
Nose bleed,,,,,,,,,,,,,,,,,,,,y,,,,,,,,
etc.,,,,,,,,,,,,,,,,,,y,,,,,,,,y,y,
