country,article,n,sp,asym_sp,sym_sp,asym_sn,sn,sym_sn,rho_c,psi_c,phi_c,alpha,alpha_l,alpha_u,beta,beta_l,beta_u,start_date,end_date,recall_start_date,recall_period,mean_median_age,alpha_a,alpha_b,beta_a,beta_b,num_sym,rho_c_l,rho_c_mc,rho_c_u,psi_c_l,psi_c_mc,psi_c_u,phi_c_l,phi_c_mc,phi_c_u,psi_l,psi,psi_u,eta_l,eta,eta_u,psi_with_ci,rel_width_psi
Brazil,Menezes et al.,31869,849,103,746,13090,31020,17930,0.027,0.121,0.578,0.848,0.814,0.878,0.9995,0.978,0.997,"Jun 21, 20","Jun 24, 20",03/01/20,12,43.3,100,17.2828828828829,68.3317317317317,0.2,11,0.0263892811195833,0.0269854717750792,0.0276130408861276,0.113074204946996,0.121319199057715,0.128386336866902,0.576112185686654,0.578014184397163,0.579883945841393,0.237168253147143,0.269277466021461,0.292437177167359,14.1056629168638,17.2265290643467,19.0924959221223,"0.27 (0.24, 0.29)",0.205248975477997
Cameroon,Nwosu et al.,971,302,194,108,482,669,187,0.311,0.642,0.28,0.915,0.832,0.965,0.935,0.897,0.962,"Oct 14, 20","Nov 26, 20",03/01/20,NA,26,61.8382382382382,6.09409409409409,100,6.59359359359359,11,0.300720906282183,0.311019567456231,0.321318228630278,0.622516556291391,0.642384105960265,0.662251655629139,0.267563527653214,0.279521674140508,0.291479820627803,0.831946074479673,0.868059914045793,0.903859495126101,54.9939727468787,63.1722723722702,71.9366029197752,"0.87 (0.83, 0.9)",0.0828438446273361
Canada,Tang et al.,8967,168,114,54,8138,8799,661,0.0187353629976581,0.678571428571429,0.0751221729742016,0.98,0.891150237127946,0.999996203304582,0.99,0.92508170287622,0.999999999671554,43952,44104,"Jan 30, 20",NA,50.9,30.16996996997,0.899299299299299,38.9611611611612,0.699499499499499,4,0.0177316828370693,0.0187353629976581,0.0197390431582469,0.654761904761905,0.678571428571429,0.702380952380952,0.0731901352426412,0.0751221729742016,0.077054210705762,0.530328974741093,0.652599963546406,0.712213498900326,-43.9904785736037,-5.74753540095585,10.3507680862697,"0.65 (0.53, 0.71)",0.278707530369482
Chile,Vial et al.,2493,242,89,153,1752,2251,499,0.097,0.368,0.222,0.99,0.97,1,0.998,0.997,0.999,"Sep 25, 20","Nov 25, 20",NA,NA,41.6,100,0.799399399399399,100,0.2,9,0.0930605695948656,0.0970718010429202,0.101083032490975,0.347107438016529,0.367768595041322,0.388429752066116,0.215904042647712,0.222123500666371,0.227898711683696,0.434546820394321,0.464713405641071,0.493508782397677,13.6535566138363,15.6681211954178,17.5425075277949,"0.46 (0.43, 0.49)",0.126878117324846
China,Li et al,34857,427,326,101,33303,34430,1127,0.012,0.763,0.033,0.95,0.823533088193035,0.998668371195821,1,0.977,1,"Apr 10, 20","Apr 18, 20",12/01/19,NA,41.9,23.7763763763764,1.4986986986987,65.3347347347347,0.2,3,0.0116189000774593,0.0119918524256247,0.0123934934159566,0.749414519906323,0.763466042154567,0.77751756440281,0.0323555039209991,0.0329944815567819,0.0336334591925646,0.747616017302052,0.775950989753871,0.794718949559642,-1.93424962868007,8.99127711300409,10.7806445320567,"0.78 (0.75, 0.79)",0.0607034888537623
Colombia,Garay et al.,2564,1045,377,668,850,1519,669,0.408,0.361,0.44,0.926,0.873,0.958,0.992,0.971,0.998,"Jul 15, 20","Nov 15, 20",NA,3 months,42,100,8.19199199199199,100,0.699499499499499,8,0.401326053042122,0.40795631825273,0.414586583463339,0.351196172248804,0.360765550239234,0.371291866028708,0.4312047399605,0.439763001974984,0.448321263989467,0.606080653778778,0.627595994805181,0.649077109972229,39.1361271523708,41.7080303998739,44.3749661585841,"0.63 (0.61, 0.65)",0.0685097683053224
Denmark,Espenhain et al,13095,369,112,257,7232,12726,5494,0.028,0.304,0.432,0.967,0.924,0.986,0.995,0.987,0.998,"Aug 15, 20","Dec 11, 20","1 Feb, 2020",NA,51.6,100,3.6964964964965,100,0.2,10,0.0270332187857961,0.0280259641084383,0.0289423444062619,0.287262872628726,0.303523035230352,0.319783197831978,0.429042904290429,0.431950337890932,0.434936350777935,0.478677830421555,0.517823478806596,0.551352283812391,27.2303987585524,31.2118016098886,34.4072164774762,"0.52 (0.48, 0.55)",0.140345998907438
France,Rouquette et al.,45260,4348,2570,1778,37312,40912,3600,0.096,0.591,0.088,1,0.916,1,0.977,0.919,0.996,"May 2, 20","Nov 30, 20",02/01/20,NA,51.1,17.5825825825826,0.2,61.4386386386386,1.7983983983984,5,0.0950508174988953,0.0960008837825895,0.0969288555015466,0.586016559337627,0.591076356945722,0.596136154553818,0.0870404771216269,0.0879937426671881,0.0889225655064529,0.464764890321826,0.552354342878911,0.600565290706301,-30.7116566174894,-9.36763884403998,2.35581933522406,"0.55 (0.46, 0.6)",0.245857395954693
Germany,Santos-Hovener et al.,2203,249,61,188,981,1954,973,0.113,0.245,0.498,0.883,0.83,0.921,0.992,0.98,0.997,"May 20, 20","Jun 9, 20",02/01/20,NA,45.9,100,13.186986986987,100,0.3997997997998,8,0.10848842487517,0.113027689514299,0.117566954153427,0.224899598393574,0.244979919678715,0.265060240963855,0.490276356192426,0.497952917093142,0.505629477993859,0.42687081825073,0.468591347120976,0.509287607545077,25.935216253642,29.788673104154,33.5987457310303,"0.47 (0.43, 0.51)",0.175882012761684
Guinea,Soumah et al.,535,99,20,436,75,436,361,0.185,0.202,0.828,1,0.94,1,1,0.952,1,"Dec 2, 20","Dec 16, 20",NA,3 months,31.7,24.7753753753754,0.2,31.168968968969,0.2,NA,0.173831775700935,0.185046728971963,0.196261682242991,0.171717171717172,0.202020202020202,0.232323232323232,0.81651376146789,0.827981651376147,0.839449541284404,0.790466465717587,0.880746901889574,0.946120095347483,75.5465419674112,85.9308862911714,93.4168548401464,"0.88 (0.79, 0.95)",0.176729125354802
Hungary,Merkely et al.,10474,69,32,37,5972,10405,4433,0.007,0.464,0.426,1,0.9589,1,0.996,0.99,0.999,"May 1, 20","May 16, 20",01/03/20,NA,48.7,36.3637637637638,0.2,100,0.2,10,0.00649226656482719,0.0069696391063586,0.0075424861561963,0.420289855072464,0.463768115942029,0.507246376811594,0.42277751081211,0.426045170591062,0.429312830370014,0.697604064085861,0.781078462751149,0.858366392184986,48.0859563927562,59.7974172138858,71.875611958881,"0.78 (0.7, 0.86)",0.205820971599807
India,Murhekar et al.,29082,3135,3029,106,25470,25917,447,0.108,0.966,0.017,1,0.9589,1,0.996,0.99,0.999,"Aug 18, 20","Sep 20, 20",03/01/20,NA,37,36.3637637637638,0.2,100,0.2,6,0.106767072415927,0.108004951516402,0.109242830616876,0.963955342902711,0.966188197767145,0.968102073365231,0.0164370876258826,0.016977273604198,0.0175560442952502,0.980084710447361,0.982465562818836,0.984798957208475,44.7355754337233,48.4488089220687,52.3993797200915,"0.98 (0.98, 0.98)",0.00479838371900681
Iran,Shakiba et al.,551,117,65,52,317,434,117,0.212,0.556,0.27,0.833,0.646117893218948,0.957651717455576,1,1,1,"Apr 11, 20","Apr 19, 20",NA,3 months,35.5,17.6824824824825,3.6964964964965,100,0.2,NA,0.199637023593466,0.212341197822142,0.223230490018149,0.521367521367521,0.555555555555556,0.58974358974359,0.255760368663594,0.269585253456221,0.283410138248848,0.701484708119927,0.748434154308395,0.795960706991032,36.7479054476624,43.2961777393111,50.9037996033226,"0.75 (0.7, 0.8)",0.126231543987203
